age,height (in cm),weight (in kg),no. of uchikomi sessions/week,no. of nagekomi sessions/week,no. of randori sessions/week,avg randori duration (minutes),no. of strength training session/week,training intensity,grip fatigue level,lower body fatigue,breakfall (ukemi) proficiency,no. of competitions played in last 6 months,avg weight cut in kgs,regular ice baths,physio sessions,do you feel exhausted after randori?,do you resist throws instead of falling?,train under coach supervision,weight cuts done?,injury in last 12 months
28,158,107,3,6,1,56,4,5,8,7,3,3,2.6,0,1,0,0,0,1,0
16,182,48,2,1,1,29,4,1,7,4,5,2,3.0,0,0,1,0,1,1,0
22,169,45,6,4,2,27,3,5,8,9,5,9,6.1,1,1,1,0,0,0,1
24,162,52,4,5,4,27,1,6,6,1,5,0,2.7,0,1,1,1,0,0,0
16,177,73,7,1,1,11,0,8,2,7,8,14,7.6,0,1,0,0,0,0,0
27,178,99,4,4,3,13,0,3,2,6,9,12,5.9,0,1,0,1,0,1,0
23,162,47,5,2,4,39,5,3,8,8,9,12,4.8,1,0,0,1,0,0,1
26,184,76,1,4,3,42,2,10,1,5,6,6,7.0,1,1,1,1,0,1,1
34,155,54,5,5,3,45,5,9,6,1,6,10,0.4,0,0,1,1,0,1,1
32,167,78,3,4,1,27,5,4,6,1,9,9,2.1,1,1,0,0,1,1,0
23,154,99,2,3,4,46,0,4,4,9,4,1,3.7,1,0,0,1,1,0,0
18,174,76,3,5,5,28,3,7,10,10,6,3,1.8,1,0,1,1,0,1,1
18,151,94,7,6,1,56,4,2,3,6,4,8,6.0,1,0,1,1,1,0,1
16,159,51,6,2,1,37,4,8,3,10,1,5,7.4,1,1,0,1,0,0,1
20,179,52,4,3,4,49,4,6,1,5,7,7,3.4,1,0,1,1,0,0,1
25,194,109,5,6,4,29,1,3,3,1,10,1,2.7,0,1,1,0,0,0,0
22,154,101,5,4,3,58,0,9,4,6,6,6,7.7,1,1,1,0,0,1,1
24,182,103,7,5,4,42,3,5,5,6,9,5,3.6,1,1,1,1,1,1,0
22,150,98,5,2,3,21,1,8,3,3,7,12,3.9,0,1,1,0,1,1,0
24,167,95,7,3,1,24,2,7,6,8,7,13,2.8,0,1,1,0,1,1,1
23,181,52,3,6,2,50,3,8,5,1,2,8,7.3,0,0,1,1,1,0,1
27,160,78,4,6,5,48,5,7,3,1,9,6,4.6,0,1,0,1,0,0,0
17,170,79,2,2,1,11,3,3,6,6,10,0,6.1,1,0,0,1,1,0,0
16,175,76,6,4,4,38,3,2,6,10,9,13,6.5,1,0,1,0,0,0,1
31,174,90,2,2,5,50,4,7,8,1,6,7,2.7,1,0,1,1,0,1,1
20,171,60,3,6,2,19,3,3,2,6,3,10,3.5,1,0,1,0,1,0,0
18,176,81,6,1,2,11,5,3,1,1,1,9,6.8,0,0,0,0,0,1,0
27,162,98,5,3,3,20,5,2,4,6,4,14,2.9,1,0,0,0,1,0,0
23,182,58,1,2,5,22,0,4,7,3,3,2,6.4,1,0,1,1,1,0,1
18,183,99,3,6,3,19,3,8,10,8,1,13,7.5,0,1,0,0,1,0,1
16,190,92,3,4,1,23,4,1,3,6,3,1,5.0,1,0,1,1,1,0,0
18,184,51,4,6,5,27,3,1,3,1,4,11,5.9,1,1,1,1,1,1,0
20,150,51,2,4,1,18,2,5,5,5,8,2,6.4,1,0,1,1,0,1,1
30,170,77,3,2,3,48,2,5,5,8,9,10,6.8,1,0,1,1,1,1,1
29,155,67,3,4,5,37,4,1,10,3,3,5,3.2,0,0,1,1,1,1,1
18,177,63,5,5,3,12,0,6,3,6,6,12,0.4,0,0,1,0,0,0,1
16,166,63,5,5,5,29,0,1,9,5,10,13,3.2,0,1,1,0,1,0,0
20,154,80,6,5,3,15,5,5,4,6,5,2,5.4,0,1,0,0,1,1,0
29,180,73,7,1,2,36,5,9,3,10,6,9,3.6,0,1,1,0,0,1,1
22,154,104,7,2,3,11,1,5,2,1,4,4,6.0,1,0,0,0,0,0,0
24,187,46,1,6,2,38,4,6,10,7,10,5,2.9,1,0,1,1,1,0,1
30,152,45,7,6,3,47,3,8,9,9,6,7,5.1,0,0,1,1,0,1,1
30,172,91,4,1,5,12,4,1,4,2,7,6,1.5,0,1,0,0,1,1,0
25,186,64,1,4,5,25,1,2,3,10,9,13,6.0,0,0,0,0,0,1,1
28,186,55,6,1,5,39,5,9,7,5,10,10,4.4,1,1,1,0,1,0,1
34,159,46,5,4,4,49,4,3,8,10,7,7,1.6,0,1,0,1,1,1,1
22,159,56,7,4,1,11,4,6,2,4,6,2,2.3,1,0,1,1,1,1,0
32,168,64,2,3,5,26,5,5,7,6,1,3,6.0,1,0,1,1,0,1,1
19,166,49,5,6,2,50,1,2,5,6,2,5,3.9,1,1,0,0,1,1,0
20,170,81,4,5,5,21,5,7,5,2,1,10,1.7,1,1,0,0,0,1,0
22,163,82,5,4,4,44,0,4,3,2,9,6,7.7,0,1,0,0,1,0,0
28,158,53,4,3,2,52,3,1,5,4,10,8,5.7,1,0,0,0,1,1,0
30,150,97,4,6,4,10,5,4,2,1,10,12,7.7,1,0,1,1,1,0,0
26,194,88,4,5,2,54,1,6,4,9,9,0,3.4,0,0,0,0,1,1,0
19,162,68,6,4,3,24,2,7,6,7,7,12,3.8,1,0,0,0,1,1,0
28,153,74,4,4,1,35,0,7,1,7,2,14,7.2,1,0,0,0,0,1,0
22,150,103,4,1,1,46,2,7,10,3,6,7,4.2,1,0,0,1,0,0,1
34,189,58,2,1,4,30,5,3,4,3,4,7,5.7,0,1,0,1,0,0,0
17,181,53,1,6,1,58,0,6,6,1,1,5,2.0,1,1,1,0,1,0,0
25,183,84,3,5,4,40,3,8,9,3,1,3,3.6,1,1,1,1,1,1,1
28,177,69,1,4,4,34,5,4,2,3,5,2,1.0,0,0,0,1,0,1,0
21,180,66,4,6,4,32,3,8,7,4,2,10,1.6,0,1,0,1,1,0,0
27,157,48,2,6,1,33,4,2,6,4,4,2,0.0,1,0,1,1,1,0,0
27,188,70,5,2,4,47,2,10,2,3,1,5,0.3,1,0,0,1,1,1,0
26,175,102,2,1,1,37,0,9,8,10,4,12,7.8,0,1,1,0,0,0,1
22,183,73,4,5,4,30,3,9,7,8,6,7,1.9,1,0,1,0,0,1,1
16,152,81,2,4,5,52,1,8,5,8,10,6,5.3,0,1,0,0,0,0,1
16,161,62,7,6,4,27,3,10,5,1,4,10,6.7,1,1,1,1,0,0,1
28,150,86,2,4,2,45,1,10,7,7,1,0,4.4,0,0,0,1,0,0,1
24,193,85,4,2,4,44,5,1,9,2,7,10,1.2,1,1,0,1,1,1,0
18,154,82,6,5,3,54,0,2,9,1,2,5,5.8,0,1,1,1,1,1,1
22,179,78,7,6,4,18,3,6,9,3,9,6,4.8,0,1,1,0,1,0,0
21,179,61,2,4,2,47,3,10,6,4,3,11,5.9,0,1,0,0,1,1,0
23,166,81,3,1,2,39,0,5,10,6,8,6,6.2,0,0,1,0,0,1,1
24,172,69,3,2,1,53,3,9,6,10,8,8,7.8,0,1,0,0,0,1,1
20,164,71,2,5,5,43,1,5,3,5,3,10,4.6,1,1,1,0,1,1,0
16,186,101,6,2,4,41,3,2,1,4,4,10,2.7,1,1,1,0,0,0,0
34,170,75,5,1,1,12,2,10,7,8,2,9,5.2,0,0,0,1,1,1,1
25,163,50,4,5,5,12,5,4,4,4,4,4,0.5,1,1,0,1,1,1,0
27,151,84,3,2,4,37,4,9,1,10,9,0,7.2,1,0,0,0,1,0,0
30,160,56,5,3,3,53,1,1,8,2,2,1,1.0,1,1,1,1,1,1,0
24,188,97,2,1,4,24,2,1,6,3,3,14,2.6,1,1,0,0,0,1,0
32,187,54,5,1,2,50,5,7,6,6,4,3,6.5,1,1,0,0,1,1,0
32,183,89,7,1,2,32,0,3,2,8,5,4,4.8,1,0,1,1,0,0,1
27,187,61,1,3,3,49,1,10,1,8,1,8,3.1,0,0,1,0,1,0,1
22,183,70,3,3,1,20,4,2,2,9,7,10,3.8,1,0,0,0,1,1,0
17,167,106,2,4,5,57,5,9,4,7,10,14,6.8,1,0,0,0,1,1,1
18,179,90,4,6,4,41,4,3,2,2,7,0,2.7,1,0,0,1,1,0,0
32,164,108,6,2,2,45,0,2,1,8,9,2,7.0,0,0,0,1,0,0,0
20,176,46,7,4,1,42,0,8,7,7,4,4,0.7,1,1,1,1,1,0,1
32,183,98,2,2,3,33,1,10,8,8,6,2,6.2,1,0,1,1,0,1,1
32,187,109,4,6,2,48,3,6,6,3,2,3,6.8,1,1,0,0,1,1,0
32,182,95,6,3,3,43,0,6,4,7,4,14,1.5,0,0,0,1,1,0,1
17,173,97,6,6,4,37,5,10,6,10,2,13,3.4,1,0,0,1,1,1,1
17,164,80,2,3,5,46,3,7,3,9,10,2,1.3,0,0,1,1,0,1,1
20,179,70,7,6,2,16,2,7,8,3,5,3,5.7,1,1,0,0,1,1,0
16,191,73,5,4,2,13,4,6,10,10,7,13,4.3,0,0,0,1,1,1,1
16,166,65,5,5,4,46,3,4,2,6,1,14,5.1,0,0,1,1,1,1,1
34,154,55,6,4,1,10,4,9,5,2,10,12,1.6,0,1,1,0,1,1,0
17,178,84,5,2,5,10,3,6,1,2,10,12,1.7,1,1,0,0,1,1,0
27,153,55,1,4,2,56,2,4,6,5,7,14,0.3,0,1,0,0,0,0,0
21,159,80,6,1,5,29,0,3,2,5,10,14,2.6,0,1,1,0,0,0,0
19,166,103,6,2,2,28,2,4,4,7,6,0,4.5,0,0,0,1,1,0,0
26,159,83,4,6,5,38,0,3,6,2,6,11,6.9,0,1,0,0,1,0,0
32,166,98,5,2,3,19,0,2,10,7,8,7,5.3,1,0,1,1,0,0,1
21,169,99,7,5,2,27,4,5,8,5,8,3,3.5,1,0,1,1,1,0,1
20,173,68,6,3,5,37,5,2,8,6,6,6,7.6,1,1,1,1,0,0,1
17,154,66,7,6,1,44,2,6,6,8,3,1,5.8,1,0,0,1,1,0,1
21,183,100,1,2,3,52,3,3,4,10,5,1,7.4,0,1,1,1,1,0,1
26,155,77,4,6,3,56,2,6,8,4,2,5,4.2,1,0,1,0,0,1,1
31,151,80,2,6,1,40,4,10,8,7,5,13,2.1,0,1,0,1,1,1,1
31,162,64,7,6,5,36,0,9,10,6,9,1,0.4,1,1,0,1,0,0,0
16,192,106,6,3,4,20,4,1,1,10,10,14,5.8,1,1,1,1,0,1,1
24,192,70,1,4,1,58,1,6,4,2,1,14,1.0,1,1,1,0,0,1,0
21,160,84,3,6,5,58,1,9,4,8,10,5,2.4,0,1,0,1,1,0,1
31,172,61,1,1,1,47,3,4,7,10,5,10,4.3,1,1,0,1,0,0,1
18,165,45,1,5,1,14,4,2,7,9,6,14,4.5,1,0,1,0,0,0,1
19,180,105,4,3,2,17,3,4,8,5,7,1,4.8,1,0,1,1,1,1,1
34,160,87,2,2,5,43,3,1,5,10,9,3,1.3,0,0,0,1,1,1,0
18,165,86,3,3,4,57,1,3,7,4,6,6,3.0,1,1,1,0,1,0,0
34,157,69,5,2,2,21,3,10,8,6,5,7,4.9,1,0,0,1,1,1,1
22,153,83,5,3,1,47,1,9,9,8,7,14,7.8,0,1,1,1,1,1,1
24,189,79,7,2,1,10,0,10,3,3,1,2,5.8,0,0,0,1,1,1,0
16,153,47,1,6,1,40,4,5,3,10,5,13,7.4,1,0,0,1,0,0,1
23,174,88,4,4,5,13,3,6,4,1,2,14,6.1,1,1,1,1,1,1,0
22,152,95,4,2,5,58,1,3,5,4,4,12,4.7,1,0,1,0,0,1,1
33,181,56,5,2,2,54,2,5,10,4,7,8,1.5,0,0,0,0,1,1,0
23,152,63,7,1,4,59,3,8,1,1,5,1,5.3,0,0,1,0,0,1,1
16,176,88,7,2,2,14,5,6,7,9,6,7,5.0,0,1,1,1,0,1,1
26,178,103,7,1,3,39,0,4,9,3,2,7,4.8,1,0,1,1,1,1,1
33,181,93,3,5,1,33,0,2,8,5,3,12,3.9,0,1,0,1,1,1,0
25,168,105,2,6,1,12,2,9,5,6,7,13,4.2,1,0,1,0,0,0,1
18,170,61,3,1,1,20,1,1,4,8,2,3,2.7,0,0,1,1,1,0,1
22,154,101,6,4,2,54,3,1,7,6,6,0,4.2,0,0,0,1,1,1,0
31,167,99,6,6,2,13,1,4,5,3,5,12,1.6,0,0,1,1,0,0,1
31,177,91,2,1,1,35,0,7,7,6,10,0,6.4,1,1,1,0,0,1,0
32,191,56,5,6,2,36,1,1,1,1,1,1,1.5,1,0,0,0,0,1,0
17,171,106,2,6,5,55,0,9,1,4,10,13,0.7,1,1,0,1,1,1,0
16,170,52,4,6,5,52,1,4,10,6,4,14,3.5,1,1,1,1,1,0,1
31,155,65,6,5,2,36,2,3,3,7,2,11,5.3,0,0,1,1,1,1,1
27,150,69,1,4,1,51,4,1,2,10,4,13,3.5,1,0,0,0,1,1,0
20,154,56,1,3,2,59,2,10,2,3,1,8,2.2,0,1,0,0,0,0,0
20,190,59,5,3,2,15,2,4,7,9,2,12,4.5,1,1,1,0,1,0,0
24,161,103,4,1,2,24,4,9,10,7,8,1,2.8,1,0,1,1,0,1,1
24,175,70,3,6,3,39,4,10,2,1,6,1,7.5,0,0,1,0,1,0,1
18,183,70,4,1,5,51,3,6,4,2,2,5,7.4,0,0,0,1,1,0,1
34,163,91,1,5,4,46,3,6,2,1,6,6,4.0,1,0,1,1,0,1,1
31,175,76,1,5,4,46,2,1,6,9,10,12,2.6,1,0,0,0,1,1,0
31,194,54,6,2,3,51,2,10,8,9,9,6,5.9,0,1,0,1,1,1,1
18,176,60,4,5,2,46,0,2,10,7,7,14,0.3,0,0,0,0,0,0,1
16,158,61,4,2,3,44,0,6,4,10,9,12,3.8,0,0,1,1,1,0,1
26,175,67,1,4,3,32,3,2,5,3,5,8,2.7,0,1,1,1,0,0,0
32,171,70,3,1,1,15,5,3,4,5,7,5,7.4,0,0,1,0,0,1,1
23,179,51,5,4,5,13,5,4,3,4,7,13,0.1,1,0,0,1,0,0,0
19,192,58,7,5,4,27,3,5,5,7,3,7,4.4,1,1,1,1,0,0,1
21,166,51,5,4,2,18,0,9,9,9,7,10,5.9,1,0,0,1,1,1,1
23,175,53,4,4,4,58,0,4,8,2,1,5,3.9,1,1,0,1,1,1,0
18,185,92,5,4,4,38,5,9,8,8,9,1,0.7,0,0,0,1,1,1,1
31,150,103,1,5,5,22,1,10,8,9,10,0,7.8,0,0,0,1,0,0,1
18,157,83,1,6,4,56,1,3,8,10,6,4,4.1,0,0,0,1,1,1,1
33,184,62,4,4,4,26,0,8,7,10,5,13,4.9,1,1,0,1,1,0,1
29,164,103,4,2,3,54,1,1,8,9,7,8,1.9,0,1,1,0,1,0,0
33,171,61,7,5,5,41,4,9,8,10,5,7,3.9,0,1,0,0,1,1,1
17,163,58,7,4,1,57,3,9,8,7,10,13,3.4,1,1,1,1,0,1,1
18,175,75,6,6,2,31,3,10,10,9,5,12,0.6,1,0,0,1,0,1,1
31,177,68,4,5,4,13,0,2,7,9,10,3,0.8,1,1,1,0,1,1,0
24,172,104,3,3,2,14,2,4,1,3,7,4,6.7,0,1,1,1,0,1,0
19,163,89,5,6,1,46,5,8,4,4,10,12,1.9,0,1,1,0,1,0,1
16,173,47,4,2,2,50,0,7,4,2,7,4,1.6,1,0,1,0,1,0,0
19,151,81,2,4,1,58,1,1,5,10,3,5,4.0,1,0,0,0,1,0,0
16,194,87,6,3,3,22,5,5,10,3,3,2,6.1,0,1,0,1,0,1,0
29,175,84,2,3,4,43,2,7,6,5,10,4,0.5,1,1,0,1,1,0,0
31,163,99,1,5,1,54,1,4,4,5,3,1,4.6,0,0,0,1,0,1,1
23,156,83,7,3,2,31,4,1,2,6,6,9,1.0,1,1,1,0,0,1,0
22,152,59,5,2,4,32,1,9,6,7,6,0,0.3,1,1,1,0,1,0,0
18,172,48,4,2,3,12,4,5,8,7,3,10,0.4,1,1,1,0,0,0,0
32,192,69,2,1,4,51,5,2,8,1,3,0,6.7,0,1,0,1,0,1,0
16,194,57,5,2,1,43,4,8,7,2,8,9,0.9,0,0,1,0,1,0,1
31,167,77,1,6,3,41,5,2,6,9,8,6,0.4,1,0,0,0,0,1,0
27,187,60,7,3,2,54,5,3,2,10,7,1,3.5,0,0,1,1,0,0,1
34,184,86,3,2,3,58,5,10,7,2,10,3,6.8,1,1,1,0,1,0,1
29,164,99,6,5,3,30,5,1,5,6,4,4,2.1,1,1,1,0,1,0,0
21,174,86,5,1,5,55,5,2,6,1,4,6,3.4,0,0,1,1,0,0,1
21,186,78,5,3,3,53,1,7,10,3,3,1,0.3,0,0,1,1,1,0,1
28,177,74,3,1,3,30,5,10,8,2,5,13,3.6,0,0,0,0,1,1,1
34,159,57,5,3,4,53,1,2,8,3,3,5,4.6,0,1,1,1,0,0,1
23,188,57,1,5,2,20,5,6,3,5,8,0,4.6,1,0,0,0,0,0,0
17,166,62,1,1,4,48,4,3,7,10,7,6,2.7,0,1,0,1,1,0,0
16,188,76,3,4,4,13,5,4,1,6,3,8,2.5,0,1,0,0,0,1,0
30,171,83,6,6,1,10,2,8,1,9,9,4,0.9,1,0,0,1,1,1,0
16,175,90,4,6,4,37,5,3,7,10,5,4,2.9,1,0,0,0,1,1,0
20,193,73,2,3,5,33,5,10,10,4,9,3,0.8,1,1,0,1,0,1,1
31,174,106,4,4,5,44,4,6,9,7,7,2,6.1,1,0,0,1,0,1,1
34,166,106,5,1,1,22,3,1,7,6,7,8,7.7,0,0,0,1,1,0,0
19,162,101,2,4,2,56,4,7,10,2,6,4,7.8,0,1,1,1,1,0,1
18,169,60,3,4,2,43,2,8,5,10,2,7,6.9,1,1,1,1,1,0,1
32,174,100,3,1,4,20,3,8,8,8,9,8,4.8,1,1,0,1,1,1,1
32,153,54,6,5,4,45,0,3,2,7,6,4,5.6,0,1,0,1,0,1,0
27,159,74,2,4,4,26,0,10,9,7,8,9,2.3,0,1,0,0,1,0,1
29,152,69,1,4,2,44,2,1,6,8,1,8,5.0,0,0,1,0,0,1,1
21,190,49,2,5,3,27,4,9,9,1,5,1,3.6,0,1,1,1,0,1,1
18,194,109,5,4,5,49,1,6,2,1,1,8,3.9,0,1,0,1,1,1,0
24,167,93,1,4,3,31,2,9,3,8,10,10,6.1,1,1,0,0,0,0,0
20,185,47,7,4,3,33,3,7,8,4,8,3,2.3,1,0,1,0,0,0,1
32,171,89,7,6,2,28,3,1,1,5,8,5,2.5,1,1,1,1,1,1,0
29,183,58,7,2,3,46,5,1,10,8,1,5,7.4,1,1,0,0,0,1,0
18,157,74,3,5,1,48,0,6,7,5,9,5,0.4,0,1,0,0,0,1,0
16,189,62,2,4,4,30,3,5,7,10,2,1,3.9,1,0,0,1,1,1,0
16,193,106,7,6,1,17,2,9,1,4,9,6,7.3,0,1,0,1,1,0,0
18,168,81,4,5,5,37,3,2,9,6,1,12,4.9,0,1,1,1,1,1,1
33,191,69,6,3,4,14,2,8,8,5,10,5,4.4,0,1,1,0,1,0,1
25,190,92,4,3,3,26,1,5,4,7,9,10,2.0,0,0,0,1,1,0,1
18,186,109,7,4,5,46,5,2,10,10,4,13,2.7,0,0,0,1,1,0,1
23,155,97,6,6,4,45,0,10,5,7,9,0,6.8,0,0,0,0,1,1,1
29,175,59,5,6,3,28,3,6,2,4,7,1,4.5,0,0,1,1,0,0,1
33,183,93,4,5,1,36,2,10,9,5,6,6,4.1,1,1,0,0,0,0,0
30,194,56,2,5,4,43,4,8,6,3,5,0,0.8,0,1,0,0,1,1,0
17,155,103,2,6,3,20,0,4,3,4,9,14,0.1,1,0,0,0,0,1,0
25,186,81,4,5,1,54,1,2,7,4,2,0,7.7,1,0,1,0,0,1,0
17,182,105,7,6,5,56,2,5,9,3,2,0,3.0,0,1,0,0,1,0,0
32,171,87,2,2,5,21,5,2,3,10,9,7,4.8,0,1,1,0,0,1,0
23,170,83,5,6,5,30,5,2,2,5,3,3,0.6,1,0,0,1,1,0,0
16,155,100,1,3,5,20,1,6,7,5,8,3,5.5,1,0,0,1,0,0,1
24,155,107,7,5,2,48,1,10,7,7,9,12,7.5,1,0,0,1,1,1,1
26,153,90,5,6,4,37,5,9,4,4,8,1,4.6,1,0,1,0,0,0,1
31,179,55,6,6,4,14,3,4,9,4,4,10,1.0,0,1,0,1,0,0,0
22,160,106,5,5,2,26,3,6,8,9,1,10,4.7,0,0,0,0,0,0,1
25,179,69,7,2,3,29,2,7,1,6,4,10,6.1,0,0,1,1,1,0,1
18,180,96,6,2,3,50,4,6,1,4,9,0,3.3,1,1,1,0,0,1,0
33,173,48,7,5,5,55,2,8,5,2,2,11,7.0,0,1,1,1,0,0,1
28,158,103,2,1,1,21,4,4,6,6,3,9,5.2,1,1,0,0,1,1,0
22,152,64,1,5,3,15,1,1,3,2,10,8,7.2,0,1,1,1,1,0,0
19,180,107,7,5,1,26,0,7,9,5,8,6,5.0,1,1,0,0,0,0,0
28,189,98,7,2,4,28,2,3,10,6,6,3,1.1,0,0,1,1,0,1,1
16,186,101,2,2,1,35,2,6,6,4,8,11,2.5,0,0,1,0,0,0,1
23,185,85,3,5,4,57,4,2,4,3,7,5,1.6,1,0,1,1,0,0,0
29,173,47,2,5,2,53,1,9,7,7,5,13,7.3,1,1,0,1,1,0,1
31,180,50,6,5,2,53,1,1,8,2,9,1,6.1,1,0,0,1,0,0,0
